CustomerID,Recency,Frequency,MonetaryValue,R,F,M,RFM_Segment,RFM_Score,RFM_Level
12867,27,105,749.2899999999997,3,4,4,344,11.0,Top
12868,186,16,177.31000000000003,1,3,3,133,7.0,Middle
12871,85,5,70.74,2,2,2,222,6.0,Middle
12872,327,6,73.4,1,2,2,122,5.0,Low
12873,283,1,102.0,1,1,2,112,4.0,Low
12877,4,33,232.71,4,4,3,443,11.0,Top
12878,237,8,174.3,1,2,3,123,6.0,Middle
12879,92,2,70.80000000000003,2,1,2,212,5.0,Low
12883,25,10,186.18,3,3,3,333,9.0,Middle
12884,89,1,31.8,2,1,1,211,4.0,Low
12885,64,20,361.47999999999985,2,3,4,234,9.0,Middle
12886,68,12,212.39,2,3,3,233,8.0,Middle
12890,25,13,53.87,3,3,1,331,7.0,Middle
12893,31,7,20.4,3,2,1,321,6.0,Middle
12895,43,6,107.65,3,2,2,322,7.0,Middle
12901,11,28,3647.06,4,4,4,444,12.0,Top
12902,265,4,42.03,1,1,1,111,3.0,Low
12904,19,15,64.55000000000001,4,3,2,432,9.0,Middle
12906,12,16,494.87000000000006,4,3,4,434,11.0,Top
12909,88,19,624.2100000000003,2,3,4,234,9.0,Middle
12910,65,12,481.26,2,3,4,234,9.0,Middle
12912,9,3,162.36,4,1,3,413,8.0,Middle
12913,5,12,617.78,4,3,4,434,11.0,Top
12915,149,2,35.9,1,1,1,111,3.0,Low
12916,139,24,699.38,2,4,4,244,10.0,Top
12919,9,6,133.74,4,2,2,422,8.0,Middle
12920,18,3,23.4,4,1,1,411,6.0,Middle
12921,10,115,2393.04,4,4,4,444,12.0,Top
12922,162,4,57.24,1,1,1,111,3.0,Low
12923,65,9,59.49999999999999,2,2,2,222,6.0,Middle
12924,89,6,220.83,2,2,3,223,7.0,Middle
12925,5,11,183.16000000000003,4,3,3,433,10.0,Top
12928,36,15,366.8,3,3,4,334,10.0,Top
12929,312,3,42.90000000000001,1,1,1,111,3.0,Low
12930,79,6,97.51,2,2,2,222,6.0,Middle
12931,22,19,8490.64,3,3,4,334,10.0,Top
12933,25,24,113.87,3,4,2,342,9.0,Middle
12935,3,26,406.1,4,4,4,444,12.0,Top
12936,18,14,236.79,4,3,3,433,10.0,Top
12937,16,31,393.43,4,4,4,444,12.0,Top
12939,65,9,1680.6799999999996,2,2,4,224,8.0,Middle
12940,55,22,207.07,2,4,3,243,9.0,Middle
12942,132,14,80.92,2,3,2,232,7.0,Middle
12944,36,8,189.4,3,2,3,323,8.0,Middle
12945,289,5,129.10000000000002,1,2,2,122,5.0,Low
12947,144,17,215.87,1,3,3,133,7.0,Middle
12948,45,23,372.78,3,4,4,344,11.0,Top
12949,31,42,748.02,3,4,4,344,11.0,Top
12950,3,4,471.6,4,1,4,414,9.0,Middle
12951,9,8,157.29999999999995,4,2,3,423,9.0,Middle
12952,6,18,291.27,4,3,3,433,10.0,Top
12953,10,4,76.3,4,1,2,412,7.0,Middle
12955,2,32,875.5200000000003,4,4,4,444,12.0,Top
12956,307,2,7.9,1,1,1,111,3.0,Low
12957,10,50,814.7,4,4,4,444,12.0,Top
12962,8,3,40.45,4,1,1,411,6.0,Middle
12963,9,13,257.62000000000006,4,3,3,433,10.0,Top
12965,90,16,102.1,2,3,2,232,7.0,Middle
12966,10,3,42.5,4,1,1,411,6.0,Middle
12968,113,2,24.95,2,1,1,211,4.0,Low
12970,8,30,72.78,4,4,2,442,10.0,Top
12971,16,53,2082.69,4,4,4,444,12.0,Top
12974,198,2,47.5,1,1,1,111,3.0,Low
12976,212,5,203.68,1,2,3,123,6.0,Middle
12977,157,1,0.65,1,1,1,111,3.0,Low
12980,188,7,2463.5399999999995,1,2,4,124,7.0,Middle
12981,30,4,84.47999999999998,3,1,2,312,6.0,Middle
12982,243,6,85.28999999999998,1,2,2,122,5.0,Low
12984,19,1,19.8,4,1,1,411,6.0,Middle
12985,1,12,174.82,4,3,3,433,10.0,Top
12987,74,3,45.4,2,1,1,211,4.0,Low
12988,293,15,102.42,1,3,2,132,6.0,Middle
12989,4,13,976.8,4,3,4,434,11.0,Top
12990,32,1,20.8,3,1,1,311,5.0,Low
12991,24,4,77.7,3,1,2,312,6.0,Middle
12993,24,10,154.14999999999995,3,3,3,333,9.0,Middle
12994,5,15,212.45,4,3,3,433,10.0,Top
12997,23,10,165.37999999999997,3,3,3,333,9.0,Middle
12999,206,2,21.9,1,1,1,111,3.0,Low
13000,260,3,46.08,1,1,1,111,3.0,Low
13001,5,67,2109.48,4,4,4,444,12.0,Top
13002,319,2,24.95,1,1,1,111,3.0,Low
13004,12,80,1044.6299999999997,4,4,4,444,12.0,Top
13005,174,6,92.85,1,2,2,122,5.0,Low
13006,57,3,77.00999999999998,2,1,2,212,5.0,Low
13008,324,4,46.92,1,1,1,111,3.0,Low
13012,10,19,418.92,4,3,4,434,11.0,Top
13013,22,32,624.6,3,4,4,344,11.0,Top
13014,11,26,680.6,4,4,4,444,12.0,Top
13015,54,32,900.1499999999999,2,4,4,244,10.0,Top
13016,74,10,184.11,2,3,3,233,8.0,Middle
13018,17,94,1483.6200000000006,4,4,4,444,12.0,Top
13021,5,28,585.5,4,4,4,444,12.0,Top
13023,65,10,181.49,2,3,3,233,8.0,Middle
13026,2,9,391.8,4,2,4,424,10.0,Top
13027,114,5,1344.0,2,2,4,224,8.0,Middle
13028,23,10,160.20000000000005,3,3,3,333,9.0,Middle
13029,139,2,315.9,2,1,3,213,6.0,Middle
13030,12,4,60.93,4,1,2,412,7.0,Middle
13032,53,8,115.23,2,2,2,222,6.0,Middle
13033,358,3,55.05,1,1,1,111,3.0,Low
13034,55,5,86.99999999999999,2,2,2,222,6.0,Middle
13035,74,6,262.70000000000005,2,2,3,223,7.0,Middle
13037,139,15,237.22,2,3,3,233,8.0,Middle
13038,291,4,75.6,1,1,2,112,4.0,Low
13040,9,9,109.01,4,2,2,422,8.0,Middle
13043,274,3,196.8,1,1,3,113,5.0,Low
13044,292,9,150.84,1,2,3,123,6.0,Middle
13045,100,4,45.34,2,1,1,211,4.0,Low
13046,31,7,99.33,3,2,2,322,7.0,Middle
13047,57,36,626.02,2,4,4,244,10.0,Top
13048,15,31,479.4,4,4,4,444,12.0,Top
13049,65,3,122.1,2,1,2,212,5.0,Low
13050,15,76,1147.5200000000004,4,4,4,444,12.0,Top
13052,213,3,72.6,1,1,2,112,4.0,Low
13055,79,10,191.64,2,3,3,233,8.0,Middle
13058,25,3,59.0,3,1,2,312,6.0,Middle
13060,254,4,62.39999999999999,1,1,2,112,4.0,Low
13061,73,3,62.1,2,1,2,212,5.0,Low
13062,192,2,32.4,1,1,1,111,3.0,Low
13064,13,12,152.28,4,3,3,433,10.0,Top
13066,25,11,94.1,3,3,2,332,8.0,Middle
13067,83,3,21.44,2,1,1,211,4.0,Low
13069,15,72,627.5300000000002,4,4,4,444,12.0,Top
13070,193,2,41.6,1,1,1,111,3.0,Low
13072,267,1,29.700000000000006,1,1,1,111,3.0,Low
13075,130,3,136.79999999999998,2,1,3,213,6.0,Middle
13077,2,18,75.79,4,3,2,432,9.0,Middle
13078,4,58,1763.4599999999994,4,4,4,444,12.0,Top
13080,180,3,19.68,1,1,1,111,3.0,Low
13081,12,183,5180.059999999999,4,4,4,444,12.0,Top
13082,158,10,216.8,1,3,3,133,7.0,Middle
13083,5,5,136.0,4,2,2,422,8.0,Middle
13085,296,1,12.6,1,1,1,111,3.0,Low
13089,5,329,10490.390000000003,4,4,4,444,12.0,Top
13090,9,30,661.3199999999998,4,4,4,444,12.0,Top
13091,29,5,105.42,3,2,2,322,7.0,Middle
13092,71,5,70.32,2,2,2,222,6.0,Middle
13093,276,28,1185.84,1,4,4,144,9.0,Middle
13094,130,2,152.64,2,1,3,213,6.0,Middle
13095,71,1,9.36,2,1,1,211,4.0,Low
13097,33,82,1281.7600000000002,3,4,4,344,11.0,Top
13098,2,106,4994.410000000002,4,4,4,444,12.0,Top
13101,235,2,25.5,1,1,1,111,3.0,Low
13102,2,68,1424.9599999999996,4,4,4,444,12.0,Top
13104,4,4,243.96,4,1,3,413,8.0,Middle
13106,134,1,76.5,2,1,2,212,5.0,Low
13107,86,13,357.08,2,3,4,234,9.0,Middle
13109,60,10,153.73,2,3,3,233,8.0,Middle
13110,32,31,297.79,3,4,3,343,10.0,Top
13113,1,48,2387.2400000000007,4,4,4,444,12.0,Top
13115,12,22,503.76,4,4,4,444,12.0,Top
13116,139,5,77.74,2,2,2,222,6.0,Middle
13117,22,8,121.56,3,2,2,322,7.0,Middle
13118,20,15,126.64,3,3,2,332,8.0,Middle
13120,239,1,30.6,1,1,1,111,3.0,Low
13121,270,10,51.31999999999999,1,3,1,131,5.0,Low
13122,241,9,157.83,1,2,3,123,6.0,Middle
13124,90,50,831.0999999999998,2,4,4,244,10.0,Top
13126,5,30,384.42999999999984,4,4,4,444,12.0,Top
13127,78,4,68.7,2,1,2,212,5.0,Low
13131,24,9,213.5,3,2,3,323,8.0,Middle
13132,262,2,62.0,1,1,2,112,4.0,Low
13133,274,2,39.7,1,1,1,111,3.0,Low
13134,86,18,344.54,2,3,4,234,9.0,Middle
13135,197,1,3096.0,1,1,4,114,6.0,Middle
13136,57,26,556.96,2,4,4,244,10.0,Top
13137,11,129,681.6899999999998,4,4,4,444,12.0,Top
13138,23,7,114.02,3,2,2,322,7.0,Middle
13139,17,39,1109.83,4,4,4,444,12.0,Top
13140,109,7,78.56,2,2,2,222,6.0,Middle
13141,85,30,480.93000000000006,2,4,4,244,10.0,Top
13142,20,7,91.14,3,2,2,322,7.0,Middle
13144,333,1,23.6,1,1,1,111,3.0,Low
13145,92,1,45.0,2,1,1,211,4.0,Low
13146,27,6,41.98,3,2,1,321,6.0,Middle
13147,100,1,118.8,2,1,2,212,5.0,Low
13148,30,85,943.18,3,4,4,344,11.0,Top
13149,15,14,309.8,4,3,3,433,10.0,Top
13151,296,11,184.6,1,3,3,133,7.0,Middle
13153,6,3,37.44,4,1,1,411,6.0,Middle
13155,34,6,127.4,3,2,2,322,7.0,Middle
13157,50,10,169.19999999999996,3,3,3,333,9.0,Middle
13158,95,14,226.27,2,3,3,233,8.0,Middle
13159,9,31,360.2000000000001,4,4,4,444,12.0,Top
13160,23,1,34.8,3,1,1,311,5.0,Low
13161,314,1,27.0,1,1,1,111,3.0,Low
13162,123,19,397.61,2,3,4,234,9.0,Middle
13165,47,6,195.6,3,2,3,323,8.0,Middle
13166,284,6,38.65,1,2,1,121,4.0,Low
13167,19,12,122.06000000000002,4,3,2,432,9.0,Middle
13168,37,19,190.66000000000003,3,3,3,333,9.0,Middle
13169,253,1,23.4,1,1,1,111,3.0,Low
13170,27,8,32.6,3,2,1,321,6.0,Middle
13171,50,8,46.94000000000001,3,2,1,321,6.0,Middle
13173,5,3,14.6,4,1,1,411,6.0,Middle
13174,17,25,244.97000000000003,4,4,3,443,11.0,Top
13176,47,12,86.25000000000001,3,3,2,332,8.0,Middle
13177,65,4,67.35,2,1,2,212,5.0,Low
13178,27,52,1231.3599999999994,3,4,4,344,11.0,Top
13182,46,2,20.04,3,1,1,311,5.0,Low
13183,8,23,823.3000000000003,4,4,4,444,12.0,Top
13184,15,29,263.4199999999999,4,4,3,443,11.0,Top
13186,40,21,383.69999999999993,3,3,4,334,10.0,Top
13187,338,9,69.6,1,2,2,122,5.0,Low
13189,19,6,64.2,4,2,2,422,8.0,Middle
13192,96,18,233.56000000000003,2,3,3,233,8.0,Middle
13193,62,7,40.45,2,2,1,221,5.0,Low
13194,136,1,9.0,2,1,1,211,4.0,Low
13196,12,21,336.48,4,3,4,434,11.0,Top
13198,11,39,604.78,4,4,4,444,12.0,Top
13199,4,23,2043.44,4,4,4,444,12.0,Top
13200,20,7,133.14999999999998,3,2,2,322,7.0,Middle
13203,10,11,158.55999999999997,4,3,3,433,10.0,Top
13208,59,27,221.77,2,4,3,243,9.0,Middle
13209,31,64,1076.39,3,4,4,344,11.0,Top
13210,94,6,95.84,2,2,2,222,6.0,Middle
13211,96,8,164.14999999999995,2,2,3,223,7.0,Middle
13212,20,28,145.27,3,4,3,343,10.0,Top
13213,57,18,294.80000000000007,2,3,3,233,8.0,Middle
13216,268,1,92.5,1,1,2,112,4.0,Low
13220,220,4,19.69,1,1,1,111,3.0,Low
13221,241,13,133.72,1,3,2,132,6.0,Middle
13223,201,2,115.8,1,1,2,112,4.0,Low
13224,61,24,578.0700000000003,2,4,4,244,10.0,Top
13225,4,7,1288.98,4,2,4,424,10.0,Top
13226,274,1,8.4,1,1,1,111,3.0,Low
13228,82,1,179.0,2,1,3,213,6.0,Middle
13229,226,2,36.75,1,1,1,111,3.0,Low
13230,5,122,597.53,4,4,4,444,12.0,Top
13232,13,26,225.14,4,4,3,443,11.0,Top
13233,75,13,131.76000000000002,2,3,2,232,7.0,Middle
13235,213,11,185.15,1,3,3,133,7.0,Middle
13236,25,10,233.62000000000003,3,3,3,333,9.0,Middle
13238,24,8,165.10000000000005,3,2,3,323,8.0,Middle
13239,262,6,109.83,1,2,2,122,5.0,Low
13240,97,12,89.69,2,3,2,232,7.0,Middle
13242,113,1,20.8,2,1,1,211,4.0,Low
13243,204,11,142.89,1,3,3,133,7.0,Middle
13244,93,4,17.9,2,1,1,211,4.0,Low
13245,51,2,61.3,3,1,2,312,6.0,Middle
13246,19,38,905.29,4,4,4,444,12.0,Top
13247,52,4,69.0,2,1,2,212,5.0,Low
13248,125,4,72.44,2,1,2,212,5.0,Low
13249,94,5,310.86,2,2,3,223,7.0,Middle
13253,157,8,223.44,1,2,3,123,6.0,Middle
13255,10,1,49.8,4,1,1,411,6.0,Middle
13258,24,9,119.79,3,2,2,322,7.0,Middle
13259,62,21,95.31,2,3,2,232,7.0,Middle
13260,62,1,26.0,2,1,1,211,4.0,Low
13261,286,4,441.6,1,1,4,114,6.0,Middle
13262,264,1,6.959999999999999,1,1,1,111,3.0,Low
13263,2,319,1467.1100000000006,4,4,4,444,12.0,Top
13265,54,14,263.16,2,3,3,233,8.0,Middle
13266,12,44,944.27,4,4,4,444,12.0,Top
13267,3,43,930.59,4,4,4,444,12.0,Top
13268,18,101,802.3,4,4,4,444,12.0,Top
13269,2,70,1112.7200000000003,4,4,4,444,12.0,Top
13271,38,22,64.17,3,4,2,342,9.0,Middle
13272,90,4,60.45,2,1,2,212,5.0,Low
13273,114,2,14.05,2,1,1,211,4.0,Low
13276,64,10,160.6,2,3,3,233,8.0,Middle
13277,117,1,25.0,2,1,1,211,4.0,Low
13278,41,9,82.53999999999998,3,2,2,322,7.0,Middle
13280,123,13,130.21,2,3,2,232,7.0,Middle
13282,19,9,309.2000000000001,4,2,3,423,9.0,Middle
13283,186,1,17.0,1,1,1,111,3.0,Low
13285,24,48,697.81,3,4,4,344,11.0,Top
13291,156,4,36.0,1,1,1,111,3.0,Low
13292,39,5,86.9,3,2,2,322,7.0,Middle
13294,190,9,151.7,1,2,3,123,6.0,Middle
13296,138,1,15.0,2,1,1,211,4.0,Low
13297,8,13,525.18,4,3,4,434,11.0,Top
13300,170,1,19.8,1,1,1,111,3.0,Low
13301,104,16,138.05,2,3,3,233,8.0,Middle
13302,156,1,63.75,1,1,2,112,4.0,Low
13304,352,4,57.21,1,1,1,111,3.0,Low
13305,5,12,264.49,4,3,3,433,10.0,Top
13308,23,9,143.56,3,2,3,323,8.0,Middle
13309,8,23,365.0,4,4,4,444,12.0,Top
13310,29,14,243.12000000000003,3,3,3,333,9.0,Middle
13311,5,10,127.68,4,3,2,432,9.0,Middle
13313,23,13,242.56000000000003,3,3,3,333,9.0,Middle
13314,2,11,133.70999999999998,4,3,2,432,9.0,Middle
13316,38,18,1141.86,3,3,4,334,10.0,Top
13317,67,20,362.76,2,3,4,234,9.0,Middle
13318,38,1,42.96,3,1,1,311,5.0,Low
13319,6,84,1906.0000000000007,4,4,4,444,12.0,Top
13320,79,16,259.0,2,3,3,233,8.0,Middle
13321,87,3,130.84,2,1,2,212,5.0,Low
13322,18,8,89.49000000000002,4,2,2,422,8.0,Middle
13323,4,4,270.5,4,1,3,413,8.0,Middle
13324,37,14,1218.66,3,3,4,334,10.0,Top
13325,82,3,268.0,2,1,3,213,6.0,Middle
13327,39,14,343.4000000000001,3,3,4,334,10.0,Top
13328,317,4,356.99999999999994,1,1,4,114,6.0,Middle
13329,32,2,110.28,3,1,2,312,6.0,Middle
13330,93,10,251.0,2,3,3,233,8.0,Middle
13332,15,5,80.2,4,2,2,422,8.0,Middle
13334,83,57,687.3200000000003,2,4,4,244,10.0,Top
13336,78,7,105.68,2,2,2,222,6.0,Middle
13338,158,6,166.39999999999995,1,2,3,123,6.0,Middle
13339,201,11,192.0,1,3,3,133,7.0,Middle
13340,46,26,2007.96,3,4,4,344,11.0,Top
13341,261,10,248.75,1,3,3,133,7.0,Middle
13343,178,5,94.3,1,2,2,122,5.0,Low
13344,68,13,379.3,2,3,4,234,9.0,Middle
13345,288,6,102.25,1,2,2,122,5.0,Low
13347,71,4,168.6,2,1,3,213,6.0,Middle
13348,65,1,10.2,2,1,1,211,4.0,Low
13349,11,4,41.68,4,1,1,411,6.0,Middle
13350,17,5,124.4,4,2,2,422,8.0,Middle
13351,67,4,67.44,2,1,2,212,5.0,Low
13352,61,7,111.06,2,2,2,222,6.0,Middle
13354,72,8,108.54000000000002,2,2,2,222,6.0,Middle
13355,123,7,125.0,2,2,2,222,6.0,Middle
13356,81,9,226.71,2,2,3,223,7.0,Middle
13357,258,20,115.99,1,3,2,132,6.0,Middle
13358,269,6,64.74000000000001,1,2,2,122,5.0,Low
13359,64,2,42.60000000000001,2,1,1,211,4.0,Low
13362,10,33,690.9,4,4,4,444,12.0,Top
13363,18,9,145.31,4,2,3,423,9.0,Middle
13364,72,1,17.4,2,1,1,211,4.0,Low
13365,34,28,544.64,3,4,4,344,11.0,Top
13368,257,8,211.35,1,2,3,123,6.0,Middle
13372,90,4,89.51,2,1,2,212,5.0,Low
13373,61,31,698.2499999999999,2,4,4,244,10.0,Top
13375,89,9,136.1,2,2,2,222,6.0,Middle
13376,100,13,236.85,2,3,3,233,8.0,Middle
13379,27,15,83.59,3,3,2,332,8.0,Middle
13381,32,38,800.7900000000003,3,4,4,344,11.0,Top
13382,281,4,62.7,1,1,2,112,4.0,Low
13384,31,25,896.9500000000003,3,4,4,344,11.0,Top
13385,330,5,110.6,1,2,2,122,5.0,Low
13388,132,9,210.77,2,2,3,223,7.0,Middle
13389,12,11,167.97000000000003,4,3,3,433,10.0,Top
13394,2,33,665.8900000000001,4,4,4,444,12.0,Top
13395,186,4,41.76,1,1,1,111,3.0,Low
13396,30,10,342.54,3,3,4,334,10.0,Top
13397,73,10,362.8,2,3,4,234,9.0,Middle
13398,193,7,103.43,1,2,2,122,5.0,Low
13402,128,8,123.51,2,2,2,222,6.0,Middle
13403,18,1,15.0,4,1,1,411,6.0,Middle
13404,213,2,41.6,1,1,1,111,3.0,Low
13405,205,6,113.99,1,2,2,122,5.0,Low
13408,2,98,5686.879999999999,4,4,4,444,12.0,Top
13410,75,5,125.84,2,2,2,222,6.0,Middle
13411,108,5,94.65,2,2,2,222,6.0,Middle
13414,134,7,168.45,2,2,3,223,7.0,Middle
13416,44,2,59.40000000000001,3,1,2,312,6.0,Middle
13417,5,10,222.1,4,3,3,433,10.0,Top
13418,12,58,1296.3499999999995,4,4,4,444,12.0,Top
13419,64,2,14.4,2,1,1,211,4.0,Low
13420,171,1,10.5,1,1,1,111,3.0,Low
13421,41,19,389.92,3,3,4,334,10.0,Top
13422,65,30,670.34,2,4,4,244,10.0,Top
13425,109,16,245.07,2,3,3,233,8.0,Middle
13426,1,29,676.5999999999998,4,4,4,444,12.0,Top
13427,20,6,148.04,3,2,3,323,8.0,Middle
13428,11,14,40.93,4,3,1,431,8.0,Middle
13429,11,16,291.16,4,3,3,433,10.0,Top
13430,19,8,76.56,4,2,2,422,8.0,Middle
13431,68,9,228.42,2,2,3,223,7.0,Middle
13435,6,22,759.0000000000001,4,4,4,444,12.0,Top
13436,2,2,28.2,4,1,1,411,6.0,Middle
13437,15,31,666.36,4,4,4,444,12.0,Top
13439,256,16,83.85,1,3,2,132,6.0,Middle
13441,92,1,10.2,2,1,1,211,4.0,Low
13447,24,9,175.69,3,2,3,323,8.0,Middle
13448,17,30,491.29,4,4,4,444,12.0,Top
13449,24,2,41.65000000000001,3,1,1,311,5.0,Low
13450,27,14,411.05999999999983,3,3,4,334,10.0,Top
13451,27,89,570.73,3,4,4,344,11.0,Top
13452,260,2,590.0,1,1,4,114,6.0,Middle
13453,166,4,111.58,1,1,2,112,4.0,Low
13455,25,3,73.8,3,1,2,312,6.0,Middle
13456,18,13,314.0900000000001,4,3,3,433,10.0,Top
13458,8,78,1738.2000000000005,4,4,4,444,12.0,Top
13460,30,1,17.0,3,1,1,311,5.0,Low
13461,39,4,197.7,3,1,3,313,7.0,Middle
13462,253,2,37.8,1,1,1,111,3.0,Low
13464,59,4,84.9,2,1,2,212,5.0,Low
13466,185,5,78.39999999999998,1,2,2,122,5.0,Low
13467,11,23,242.27,4,4,3,443,11.0,Top
13468,2,54,1044.42,4,4,4,444,12.0,Top
13470,100,3,49.5,2,1,1,211,4.0,Low
13471,2,65,693.9600000000003,4,4,4,444,12.0,Top
13473,61,6,142.29000000000005,2,2,3,223,7.0,Middle
13474,237,11,46.10000000000001,1,3,1,131,5.0,Low
13475,218,14,219.21,1,3,3,133,7.0,Middle
13476,179,12,214.5,1,3,3,133,7.0,Middle
13477,58,9,152.32,2,2,3,223,7.0,Middle
13479,201,3,72.3,1,1,2,112,4.0,Low
13481,46,22,333.21,3,4,3,343,10.0,Top
13482,233,3,52.98,1,1,1,111,3.0,Low
13483,66,3,59.7,2,1,2,212,5.0,Low
13484,242,3,63.6,1,1,2,112,4.0,Low
13485,234,4,73.3,1,1,2,112,4.0,Low
13486,79,14,217.46,2,3,3,233,8.0,Middle
13487,58,9,149.2,2,2,3,223,7.0,Middle
13488,18,82,1595.5799999999995,4,4,4,444,12.0,Top
13489,106,4,142.07999999999996,2,1,3,213,6.0,Middle
13491,52,15,192.63,2,3,3,233,8.0,Middle
13494,312,3,70.80000000000003,1,1,2,112,4.0,Low
13495,8,7,376.2,4,2,4,424,10.0,Top
13496,11,3,45.0,4,1,1,411,6.0,Middle
13497,283,3,54.3,1,1,1,111,3.0,Low
13499,18,8,286.4500000000001,4,2,3,423,9.0,Middle
13500,24,10,189.5,3,3,3,333,9.0,Middle
13502,17,2,16.8,4,1,1,411,6.0,Middle
13503,72,1,10.5,2,1,1,211,4.0,Low
13504,65,6,72.12,2,2,2,222,6.0,Middle
13506,317,1,20.4,1,1,1,111,3.0,Low
13507,4,33,492.86,4,4,4,444,12.0,Top
13508,244,3,27.630000000000006,1,1,1,111,3.0,Low
13509,9,8,121.22,4,2,2,422,8.0,Middle
13510,2,21,329.31999999999994,4,3,3,433,10.0,Top
13512,261,6,89.3,1,2,2,122,5.0,Low
13513,127,2,37.65,2,1,1,211,4.0,Low
13515,73,7,103.2,2,2,2,222,6.0,Middle
13516,22,7,370.66,3,2,4,324,9.0,Middle
13517,60,31,450.99,2,4,4,244,10.0,Top
13518,86,7,121.4,2,2,2,222,6.0,Middle
13519,79,1,11.9,2,1,1,211,4.0,Low
13521,2,98,263.2799999999999,4,4,3,443,11.0,Top
13523,34,29,893.3699999999997,3,4,4,344,11.0,Top
13524,41,3,53.78,3,1,1,311,5.0,Low
13525,15,1,23.9,4,1,1,411,6.0,Middle
13527,34,47,538.8299999999998,3,4,4,344,11.0,Top
13529,79,3,51.05,2,1,1,211,4.0,Low
13531,206,3,79.85,1,1,2,112,4.0,Low
13532,34,10,29.61,3,3,1,331,7.0,Middle
13533,183,16,63.29,1,3,2,132,6.0,Middle
13534,3,63,1242.0499999999995,4,4,4,444,12.0,Top
13536,2,40,723.0700000000003,4,4,4,444,12.0,Top
13538,44,6,283.65,3,2,3,323,8.0,Middle
13539,86,8,161.39999999999995,2,2,3,223,7.0,Middle
13544,40,21,66.33000000000001,3,3,2,332,8.0,Middle
13546,13,15,84.90000000000002,4,3,2,432,9.0,Middle
13548,97,26,127.1,2,4,2,242,8.0,Middle
13549,65,9,173.60000000000005,2,2,3,223,7.0,Middle
13551,320,1,17.85,1,1,1,111,3.0,Low
13552,67,30,1059.26,2,4,4,244,10.0,Top
13555,74,29,764.9599999999997,2,4,4,244,10.0,Top
13557,29,9,148.08,3,2,3,323,8.0,Middle
13558,6,43,181.15,4,4,3,443,11.0,Top
13560,8,7,45.1,4,2,1,421,7.0,Middle
13562,82,12,249.4,2,3,3,233,8.0,Middle
13563,85,10,222.28,2,3,3,233,8.0,Middle
13564,145,9,644.7399999999999,1,2,4,124,7.0,Middle
13565,20,11,78.23,3,3,2,332,8.0,Middle
13566,41,37,201.26,3,4,3,343,10.0,Top
13568,174,6,19.45,1,2,1,121,4.0,Low
13569,18,12,55.1,4,3,1,431,8.0,Middle
13570,244,6,55.91,1,2,1,121,4.0,Low
13571,13,86,511.29999999999984,4,4,4,444,12.0,Top
13572,206,7,182.53,1,2,3,123,6.0,Middle
13573,51,6,73.75,3,2,2,322,7.0,Middle
13575,24,13,194.5,3,3,3,333,9.0,Middle
13576,11,25,1211.14,4,4,4,444,12.0,Top
13577,26,17,439.85,3,3,4,334,10.0,Top
13581,310,1,2.95,1,1,1,111,3.0,Low
13583,156,10,151.9,1,3,3,133,7.0,Middle
13584,307,9,43.2,1,2,1,121,4.0,Low
13587,64,3,357.6,2,1,4,214,7.0,Middle
13588,16,35,454.98,4,4,4,444,12.0,Top
13589,15,3,67.35,4,1,2,412,7.0,Middle
13590,12,19,373.43,4,3,4,434,11.0,Top
13591,65,13,324.4,2,3,3,233,8.0,Middle
13592,206,3,58.97,1,1,2,112,4.0,Low
